,n_neurons,n_iter,cap_size,n_rounds,beta_factor,a_sparsity,accuracy,type,a,b,n,p
0,3109,1545,201,6,1.405935554277616,0.2256412033327959,0.6543,beta,2.6234418167596494,1.6506312238408136,,
1,4060,1705,223,6,1.3628421748560775,0.09606662151082951,0.6487,uniform,,,,
2,3059,992,170,8,0.6267415209911766,0.21288916688416362,0.6487,uniform,,,,
3,4691,897,283,8,0.932591702301637,0.16833584249234756,0.6429,uniform,,,,
4,3702,1527,241,7,1.3742295198116892,0.14926070802521246,0.6411,beta,2.463660117424485,0.3019388044985604,,
5,4658,4356,270,10,1.27206234409984,0.16699698992624168,0.6407,uniform,,,,
6,2362,1572,168,8,0.5154326617095771,0.16569852267353696,0.6396000000000001,uniform,,,,
7,2626,727,255,10,1.1943660016187496,0.25936752800115787,0.6396,beta,2.732282552595451,0.1039620815127118,,
8,2742,1653,258,7,1.018542055871384,0.1669783721638933,0.6386000000000001,beta,2.1023016523999787,1.5585277633752923,,
9,2546,655,169,10,1.0033393962032469,0.255297349996961,0.6367999999999999,binomial,,,14305.0,0.3840463136261615
10,3776,2701,309,9,0.9557747205150117,0.21801138971983378,0.6352,binomial,,,35842.0,0.07813530984426645
11,5071,774,262,9,1.3184920930912605,0.10615022876198385,0.633,uniform,,,,
12,2260,1216,189,6,1.4478953296581547,0.056857613972652224,0.6317,uniform,,,,
13,3100,2949,163,8,1.2863385094808961,0.09100264686220944,0.6312,uniform,,,,
14,2290,1364,208,8,0.43250526802642475,0.09010141658476306,0.6309,binomial,,,22039.0,0.0741665170109041
15,3861,416,264,6,1.0089154652729746,0.1713356713498443,0.6308999999999999,beta,0.7362292800953842,1.7685963905511308,,
16,3006,2530,245,7,0.8924873740705248,0.111555777889816,0.6303,binomial,,,9373.0,0.32762627510470393
17,2975,2437,186,5,0.9684122179047101,0.11423389712091961,0.6279,uniform,,,,
18,2538,2282,191,7,1.0498300527142819,0.05152881328205884,0.6277,binomial,,,19023.0,0.16632725303940327
19,1618,1580,149,8,0.6100931697462735,0.2701856089715554,0.6257999999999999,uniform,,,,
20,3936,1594,329,10,0.5490730545962453,0.09820420456319912,0.6247,beta,0.6426384323649195,2.619892805104827,,
21,3126,1437,301,8,0.7298113615710347,0.0927190983009582,0.6224,uniform,,,,
